observation_id,provider,incident_date,service_context,incident_title,source_url,duration_hours,blast_radius_proxy,coded_category,notes,public_record_locator
OBS-001,AWS,2023-06-13,AWS Lambda PES,AWS Lambda Service Event in Northern Virginia (US-EAST-1) Region,https://aws.amazon.com/message/061323/,3.8,multi-service/single-region,software_defect,Latent software defect triggered during scaling; official PES.,2023-06-13 | AWS Lambda PES | AWS Lambda Service Event in Northern Virginia (US-EAST-1) Region
OBS-002,AWS,2024-07-30,AWS Kinesis PES,Amazon Kinesis Data Streams Service Event in Northern Virginia (US-EAST-1) Region,https://aws.amazon.com/message/073024/,6.9,multi-service/single-region,software_defect,Cell management system behaved incorrectly under novel shard workload; official PES.,2024-07-30 | AWS Kinesis PES | Amazon Kinesis Data Streams Service Event in Northern Virginia (US-EAST-1) Region
OBS-003,AWS,2025-10-19,AWS DynamoDB PES,Amazon DynamoDB Service Disruption in Northern Virginia (US-EAST-1) Region,https://aws.amazon.com/message/101925/,14.5,multi-service/single-region,software_defect,Latent race condition in DNS management system; official PES.,2025-10-19 | AWS DynamoDB PES | Amazon DynamoDB Service Disruption in Northern Virginia (US-EAST-1) Region
OBS-004,Azure,2025-03-18,Azure PIR,Network Connectivity – Availability issues in East US,https://azure.status.microsoft/status/history/?trackingId=Z_SZ-NV8,4.4,multi-service/single-region,infrastructure_failure,Third-party fiber cut plus tooling failure; official PIR.,2025-03-18 | Azure PIR | Network Connectivity – Availability issues in East US
OBS-005,Azure,2025-10-09,Azure PIR,Azure Front Door – Access issues in multiple regions,https://azure.status.microsoft/status/history/?trackingId=QNBQ-5W8,8.2,multi-region/global,software_defect,Control-plane bug plus protection bypass; official PIR.,2025-10-09 | Azure PIR | Azure Front Door – Access issues in multiple regions
OBS-006,Azure,2025-10-09,Azure PIR,Azure Portal and other management portals – Access issues in multiple regions,https://azure.status.microsoft/status/history/?trackingId=QKNQ-PB8,4.3,multi-region/global,dependency_cascade,Portal impact associated with Front Door/CDN incident; official PIR.,2025-10-09 | Azure PIR | Azure Portal and other management portals – Access issues in multiple regions
OBS-007,Azure,2025-10-29,Azure PIR,Azure Front Door – Connectivity issues across multiple regions,https://azure.status.microsoft/en-us/status/history/?trackingId=YKYN-BWZ,8.4,multi-region/global,,Official PIR; retained in corpus but not root-cause coded here due insufficient source detail in extracted snippet.,2025-10-29 | Azure PIR | Azure Front Door – Connectivity issues across multiple regions
OBS-008,Azure,2025-11-05,Azure PIR,Thermal event impacting multiple services in AZ01 – West Europe,https://azure.status.microsoft/status/history/?trackingId=2LGD-9VG,9.5,multi-service/single-region,infrastructure_failure,Voltage sag/cooling failure; official PIR.,2025-11-05 | Azure PIR | Thermal event impacting multiple services in AZ01 – West Europe
OBS-009,Azure,2025-12-08,Azure PIR,Azure Resource Manager – Service management failures affecting Azure Government,https://azure.status.microsoft/status/history/?trackingId=ML7_-DWG,3.2,multi-region/global,configuration_change,Inadvertent automated key rotation; official PIR.,2025-12-08 | Azure PIR | Azure Resource Manager – Service management failures affecting Azure Government
OBS-010,Azure,2026-02-02,Azure PIR,"Virtual Machines, Managed identities, and dependent services – Service management issues in multiple regions",https://azure.status.microsoft/en-us/status/history/?trackingId=FNJ8-VQZ,6.5,multi-region/global,configuration_change,Mis-targeted policy remediation disabled anonymous access; recovery surge overloaded managed identities.,"2026-02-02 | Azure PIR | Virtual Machines, Managed identities, and dependent services – Service management issues in multiple regions"
OBS-011,Azure,2026-02-07,Azure PIR,Power event impacting multiple services – West US,https://azure.status.microsoft/en-us/status/history/?trackingId=_SVS-5_G,20.4,multi-service/single-region,infrastructure_failure,Datacenter transformer/power control failure; official PIR.,2026-02-07 | Azure PIR | Power event impacting multiple services – West US
OBS-012,Azure,2026-03-09,Azure PIR,Azure OpenAI – GPT-5.2 availability degradation in 7 regions,https://azure.status.microsoft/en-us/status/history/?trackingId=8GCS-858,20.2,multi-region/global,configuration_change,Model configuration incompatible with production engine version; official PIR.,2026-03-09 | Azure PIR | Azure OpenAI – GPT-5.2 availability degradation in 7 regions
OBS-013,GCP,2025-07-18,Google Compute Engine history,We are investigating elevated error rates with multiple products in us-east1,https://status.cloud.google.com/products/L3ggmi3Jy4xJmgodFA9K/history,2.1,multi-service/single-region,,Official Google Compute Engine product history page.,2025-07-18 | Google Compute Engine history | We are investigating elevated error rates with multiple products in us-east1
OBS-014,GCP,2025-06-12,Google Compute Engine history,Multiple GCP products are experiencing Service issues.,https://status.cloud.google.com/products/L3ggmi3Jy4xJmgodFA9K/history,2.9,multi-region/global,,Official Google Compute Engine product history page.,2025-06-12 | Google Compute Engine history | Multiple GCP products are experiencing Service issues.
OBS-015,GCP,2025-05-19,Google Compute Engine history,Google Compute Engine (GCE) issue impacting multiple dependent GCP services across zones,https://status.cloud.google.com/products/L3ggmi3Jy4xJmgodFA9K/history,8.7,multi-service/single-region,dependency_cascade,Official Google Compute Engine product history page.,2025-05-19 | Google Compute Engine history | Google Compute Engine (GCE) issue impacting multiple dependent GCP services across zones
OBS-016,GCP,2025-03-29,Google Compute Engine history,Customers are experiencing connectivity issues with multiple Google Cloud services in zone us-east5-c,https://status.cloud.google.com/products/L3ggmi3Jy4xJmgodFA9K/history,6.4,multi-service/single-region,,Official Google Compute Engine product history page.,2025-03-29 | Google Compute Engine history | Customers are experiencing connectivity issues with multiple Google Cloud services in zone us-east5-c
OBS-017,GCP,2024-10-23,Google Compute Engine history,Multiple GCP services impacted in the europe-west3-c zone,https://status.cloud.google.com/products/L3ggmi3Jy4xJmgodFA9K/history,7.7,multi-service/single-region,infrastructure_failure,Official Google Compute Engine product history page.,2024-10-23 | Google Compute Engine history | Multiple GCP services impacted in the europe-west3-c zone
OBS-018,GCP,2024-09-07,Google Compute Engine history,Google Compute Engine (GCE) VM instance creation/deletion and related operations failing in asia-northeast1,https://status.cloud.google.com/products/L3ggmi3Jy4xJmgodFA9K/history,1.8,single-service/single-region,,Official Google Compute Engine product history page.,2024-09-07 | Google Compute Engine history | Google Compute Engine (GCE) VM instance creation/deletion and related operations failing in asia-northeast1
OBS-019,GCP,2024-07-26,Google Compute Engine history,Persistent Disk is experiencing issues with disk delete and update operations globally,https://status.cloud.google.com/products/L3ggmi3Jy4xJmgodFA9K/history,8.2,multi-region/global,,Official Google Compute Engine product history page.,2024-07-26 | Google Compute Engine history | Persistent Disk is experiencing issues with disk delete and update operations globally
OBS-020,GCP,2024-07-18,Google Compute Engine history,Windows VMs using CrowdStrike are crashing.,https://status.cloud.google.com/products/L3ggmi3Jy4xJmgodFA9K/history,16.7,multi-region/global,security_event,Official Google Compute Engine product history page.,2024-07-18 | Google Compute Engine history | Windows VMs using CrowdStrike are crashing.
OBS-021,GCP,2024-05-16,Google Compute Engine history,Multiple cloud products are experiencing network connectivity issues. New instances of several cloud products will come up without a network in many regions.,https://status.cloud.google.com/products/L3ggmi3Jy4xJmgodFA9K/history,2.8,multi-region/global,configuration_change,Official Google Compute Engine product history page.,2024-05-16 | Google Compute Engine history | Multiple cloud products are experiencing network connectivity issues. New instances of several cloud products will come up without a network in many regions.
OBS-022,GCP,2024-02-27,Google Compute Engine history,"Issue with Google Cloud Console, Cloud Workstation, Cloud Shell, GKE and Persistent Disk.",https://status.cloud.google.com/products/L3ggmi3Jy4xJmgodFA9K/history,48.0,multi-service/single-region,,Official Google Compute Engine product history page.,"2024-02-27 | Google Compute Engine history | Issue with Google Cloud Console, Cloud Workstation, Cloud Shell, GKE and Persistent Disk."
OBS-023,GCP,2023-11-07,Google Compute Engine history,"Google Compute Engine, Persistent Disk, Virtual Private Cloud are experiencing issues in us-east4-a",https://status.cloud.google.com/products/L3ggmi3Jy4xJmgodFA9K/history,3.9,multi-service/single-region,,Official Google Compute Engine product history page.,"2023-11-07 | Google Compute Engine history | Google Compute Engine, Persistent Disk, Virtual Private Cloud are experiencing issues in us-east4-a"
OBS-024,GCP,2023-10-05,Google Compute Engine history,Multiple cloud products are experiencing networking issues in us-central1,https://status.cloud.google.com/products/L3ggmi3Jy4xJmgodFA9K/history,7.8,multi-service/single-region,,Official Google Compute Engine product history page.,2023-10-05 | Google Compute Engine history | Multiple cloud products are experiencing networking issues in us-central1
OBS-025,GCP,2023-09-12,Google Compute Engine history,Multiple services for Google Cloud Platform are impacted in us-central1-a,https://status.cloud.google.com/products/L3ggmi3Jy4xJmgodFA9K/history,3.8,multi-service/single-region,,Official Google Compute Engine product history page.,2023-09-12 | Google Compute Engine history | Multiple services for Google Cloud Platform are impacted in us-central1-a
OBS-026,GCP,2023-06-12,Google Compute Engine history,Multiple Google Cloud Platform services impacted globally with operational latency,https://status.cloud.google.com/products/L3ggmi3Jy4xJmgodFA9K/history,4.6,multi-region/global,dependency_cascade,Official Google Compute Engine product history page.,2023-06-12 | Google Compute Engine history | Multiple Google Cloud Platform services impacted globally with operational latency
OBS-027,GCP,2023-04-25,Google Compute Engine history,Multiple Google Cloud services in the europe-west9-a zone are impacted,https://status.cloud.google.com/products/L3ggmi3Jy4xJmgodFA9K/history,27.0,multi-service/single-region,,Official Google Compute Engine product history page.,2023-04-25 | Google Compute Engine history | Multiple Google Cloud services in the europe-west9-a zone are impacted
OBS-028,GCP,2025-07-18,Google BigQuery history,We are investigating elevated error rates with multiple products in us-east1,https://status.cloud.google.com/products/9CcrhHUcFevXPSVaSxkf/history,2.0,multi-service/single-region,,Official Google BigQuery product history page.,2025-07-18 | Google BigQuery history | We are investigating elevated error rates with multiple products in us-east1
OBS-029,GCP,2025-06-12,Google BigQuery history,Multiple GCP products are experiencing Service issues.,https://status.cloud.google.com/products/9CcrhHUcFevXPSVaSxkf/history,2.9,multi-region/global,,Official Google BigQuery product history page.,2025-06-12 | Google BigQuery history | Multiple GCP products are experiencing Service issues.
OBS-030,GCP,2025-03-29,Google BigQuery history,Customers are experiencing connectivity issues with multiple Google Cloud services in zone us-east5-c,https://status.cloud.google.com/products/9CcrhHUcFevXPSVaSxkf/history,6.4,multi-service/single-region,,Official Google BigQuery product history page.,2025-03-29 | Google BigQuery history | Customers are experiencing connectivity issues with multiple Google Cloud services in zone us-east5-c
OBS-031,GCP,2024-12-09,Google BigQuery history,We are investigating elevated error rates and latency for streaming ingestion into BigQuery,https://status.cloud.google.com/products/9CcrhHUcFevXPSVaSxkf/history,2.3,single-service/single-region,,Official Google BigQuery product history page.,2024-12-09 | Google BigQuery history | We are investigating elevated error rates and latency for streaming ingestion into BigQuery
OBS-032,GCP,2024-12-04,Google BigQuery history,We experienced elevated errors with BigQuery accessing Google Drive.,https://status.cloud.google.com/products/9CcrhHUcFevXPSVaSxkf/history,4.0,single-service/single-region,,Official Google BigQuery product history page.,2024-12-04 | Google BigQuery history | We experienced elevated errors with BigQuery accessing Google Drive.
OBS-033,GCP,2024-07-11,Google BigQuery history,BigQuery is experiencing issues with reported storage costs and charges globally.,https://status.cloud.google.com/products/9CcrhHUcFevXPSVaSxkf/history,155.0,multi-region/global,,Official Google BigQuery product history page.,2024-07-11 | Google BigQuery history | BigQuery is experiencing issues with reported storage costs and charges globally.
OBS-034,GCP,2024-06-10,Google BigQuery history,Issue with BigQuery Streaming API and Cloud Logging in US Multiregion,https://status.cloud.google.com/products/9CcrhHUcFevXPSVaSxkf/history,2.0,multi-service/single-region,,Official Google BigQuery product history page.,2024-06-10 | Google BigQuery history | Issue with BigQuery Streaming API and Cloud Logging in US Multiregion
OBS-035,GCP,2023-11-20,Google BigQuery history,We've received a report of an issue with Google BigQuery.,https://status.cloud.google.com/products/9CcrhHUcFevXPSVaSxkf/history,9.8,single-service/single-region,,Official Google BigQuery product history page.,2023-11-20 | Google BigQuery history | We've received a report of an issue with Google BigQuery.
OBS-036,GCP,2023-11-16,Google BigQuery history,Google BigQuery is experiencing issues with cross region ‘copy transfer’ in multiple regions.,https://status.cloud.google.com/products/9CcrhHUcFevXPSVaSxkf/history,5.9,multi-region/global,,Official Google BigQuery product history page.,2023-11-16 | Google BigQuery history | Google BigQuery is experiencing issues with cross region ‘copy transfer’ in multiple regions.
OBS-037,GCP,2023-09-28,Google BigQuery history,Google BigQuery users are experiencing issues with slot autoscaling and purchasing commitments in multi-region US,https://status.cloud.google.com/products/9CcrhHUcFevXPSVaSxkf/history,11.2,single-service/single-region,,Official Google BigQuery product history page.,2023-09-28 | Google BigQuery history | Google BigQuery users are experiencing issues with slot autoscaling and purchasing commitments in multi-region US
OBS-038,GCP,2023-07-12,Google BigQuery history,Google BigQuery customer may experience reservation and dataset service API failures or timeouts in the US.,https://status.cloud.google.com/products/9CcrhHUcFevXPSVaSxkf/history,16.2,single-service/single-region,,Official Google BigQuery product history page.,2023-07-12 | Google BigQuery history | Google BigQuery customer may experience reservation and dataset service API failures or timeouts in the US.
OBS-039,GCP,2023-04-28,Google BigQuery history,Increased connection errors for some Bigquery jobs impacting customers in US regions.,https://status.cloud.google.com/products/9CcrhHUcFevXPSVaSxkf/history,19.2,single-service/single-region,,Official Google BigQuery product history page.,2023-04-28 | Google BigQuery history | Increased connection errors for some Bigquery jobs impacting customers in US regions.
OBS-040,GCP,2023-03-31,Google BigQuery history,Multiregion: Query errors and failures for BigQuery customers,https://status.cloud.google.com/products/9CcrhHUcFevXPSVaSxkf/history,1.7,multi-region/global,,Official Google BigQuery product history page.,2023-03-31 | Google BigQuery history | Multiregion: Query errors and failures for BigQuery customers
OBS-041,GCP,2023-02-27,Google Cloud Networking / multiple downstream services,Google Cloud Networking production network packet loss affecting downstream services,https://status.cloud.google.com/incidents/LnvJwfYu3TCyUrcrP7yf,0.22,multi-region/global,infrastructure_failure,Official incident report describes significant packet loss in production network causing downstream Google Cloud and Workspace errors.,2023-02-27 | Google Cloud Networking / multiple downstream services | Google Cloud Networking production network packet loss affecting downstream services
OBS-042,GCP,2023-08-14,Cloud Interconnect,"Google Cloud Interconnect outage in Montreal, Canada",https://status.cloud.google.com/incidents/ZQFpiLgvHB7a7Ua7o26T,19.18,single-service/single-region,infrastructure_failure,Official incident report cites underground fiber cable outage and two unrelated issues affecting Montreal interconnect location.,"2023-08-14 | Cloud Interconnect | Google Cloud Interconnect outage in Montreal, Canada"
OBS-043,GCP,2023-10-02,"Dialogflow ES/CX, Speech-to-Text, Google Cloud Support",Dialogflow ES/CX and Speech-to-Text elevated 500 errors and service unavailability,https://status.cloud.google.com/incidents/v6jV7iq9NFXTJmjQcJ7o,,multi-region/global,,Official service health page documents elevated 500 errors and service unavailability; duration not fully exposed in retrieved lines.,"2023-10-02 | Dialogflow ES/CX, Speech-to-Text, Google Cloud Support | Dialogflow ES/CX and Speech-to-Text elevated 500 errors and service unavailability"
OBS-044,GCP,2023-11-13,Cloud IAM,Cloud IAM cutover caused JWT authentication issues,https://status.cloud.google.com/incidents/iRvJVnsbz8T47ySiy5Hg,,multi-region/global,configuration_change,Official incident report states IAM cutover from one configuration management system to another led to JWT verification/authentication issues.,2023-11-13 | Cloud IAM | Cloud IAM cutover caused JWT authentication issues
OBS-045,GCP,2024-01-10,Cloud Monitoring and dependent products,Multiple Google Cloud products impacted by a Cloud Monitoring issue,https://status.cloud.google.com/incidents/ZvBMWa5Z8yhfCwbp5xTp,43.75,multi-region/global,,Official incident report documents dashboard delays and metric query failures with broad cross-product impact.,2024-01-10 | Cloud Monitoring and dependent products | Multiple Google Cloud products impacted by a Cloud Monitoring issue
OBS-046,GCP,2024-01-23,Cloud Logging / Personalized Service Health,Multiple regions: Cloud Logging issues displaying log data in Google Cloud Console,https://status.cloud.google.com/incidents/bMAYzVmupVWVNUjPhchQ,,multi-region/global,,Official incident page documents Cloud Logging display issues and impact to PSH notifications and log-based metrics.,2024-01-23 | Cloud Logging / Personalized Service Health | Multiple regions: Cloud Logging issues displaying log data in Google Cloud Console
OBS-047,GCP,2024-02-07,Multiple products in europe-west8-b,Multiple product outage in europe-west8-b,https://status.cloud.google.com/incidents/McSxWsRNvAPn7SbWGGig,1.13,multi-service/single-region,infrastructure_failure,Official incident report describes partial zonal service outage in europe-west8-b impacting multiple services.,2024-02-07 | Multiple products in europe-west8-b | Multiple product outage in europe-west8-b
OBS-048,GCP,2024-02-14,Multiple products in us-west1,Control plane unavailability and elevated latencies in us-west1,https://status.cloud.google.com/incidents/u6rQ2nNVbhAFqGCcTm58,3.12,multi-service/single-region,dependency_cascade,Official incident report describes control plane unavailability in us-west1 with a few data-plane impacts across many products.,2024-02-14 | Multiple products in us-west1 | Control plane unavailability and elevated latencies in us-west1
OBS-049,GCP,2024-03-20,Agent Assist / Dialogflow CX / Dialogflow ES / Speech-to-Text,"Issues with Agent Assist, Dialogflow CX/ES, and Cloud Speech-to-Text",https://status.cloud.google.com/incidents/3MTbJCdH8swURGCvrkhe,4.78,multi-region/global,dependency_cascade,Official page documents streaming API internal/unavailable errors; mitigation referenced a dependency service update.,"2024-03-20 | Agent Assist / Dialogflow CX / Dialogflow ES / Speech-to-Text | Issues with Agent Assist, Dialogflow CX/ES, and Cloud Speech-to-Text"
OBS-050,GCP,2024-03-26,Cloud Workstations,Cloud Workstations service issues for us-central1 and us-west1,https://status.cloud.google.com/incidents/TZMCWaQRtAmX9ZDVwYUx,,multi-region/global,,Official mini incident report documents console load errors for Cloud Workstations in two regions.,2024-03-26 | Cloud Workstations | Cloud Workstations service issues for us-central1 and us-west1
OBS-051,GCP,2024-04-22,Batch,Batch service issues in us-central1,https://status.cloud.google.com/incidents/P43dHoyBajdZ82B1kubv,,single-service/single-region,,Official mini incident report documents delays for batch jobs moving from Queued to Scheduled in us-central1.,2024-04-22 | Batch | Batch service issues in us-central1
OBS-052,GCP,2024-09-25,Mandiant Security Validation,Mandiant Security Validation application outage,https://status.cloud.google.com/incidents/psbdfLBYU9GR3bNNq7HT,11.02,multi-region/global,,Official incident page documents inability to create/run content and later maintenance-page redirection.,2024-09-25 | Mandiant Security Validation | Mandiant Security Validation application outage
OBS-053,GCP,2024-10-16,Multiple products in us-west2-a / us-west2,Multiple Google Cloud products unavailable in us-west2-a / us-west2,https://status.cloud.google.com/incidents/RAGcW4N9jHRkrAjnX2v7,3.73,multi-service/single-region,infrastructure_failure,Official incident report documents broad unavailability in us-west2-a/us-west2 affecting multiple products.,2024-10-16 | Multiple products in us-west2-a / us-west2 | Multiple Google Cloud products unavailable in us-west2-a / us-west2
OBS-054,GCP,2024-11-16,Network capacity incident in asia-southeast2,Reduced network capacity between asia-southeast2 and other regions,https://status.cloud.google.com/incidents/kDBRnSgQCPw93E8vKKat,1.43,multi-service/single-region,infrastructure_failure,"Official incident report cites fiber failures and network equipment fault, plus latent software defect on backbone router.",2024-11-16 | Network capacity incident in asia-southeast2 | Reduced network capacity between asia-southeast2 and other regions
OBS-055,GCP,2025-01-08,Cloud Pub/Sub and dependent services,Cloud Pub/Sub outage in multiple regions,https://status.cloud.google.com/incidents/ghMho2Gka33Exr9UNavz,1.22,multi-region/global,configuration_change,Official incident report attributes outage to bad service configuration change rolled out to multiple regions; backlog extended for ordered subscriptions.,2025-01-08 | Cloud Pub/Sub and dependent services | Cloud Pub/Sub outage in multiple regions
OBS-056,GCP,2025-01-10,Vertex Gemini API,Vertex Gemini API elevated errors on Gemini 1.5 Flash 002 model,https://status.cloud.google.com/incidents/2np3yFXF8LegQkKGdPuB,66.67,multi-region/global,,Official incident page documents elevated errors on Gemini 1.5 Flash 002 model from 10 Jan to 13 Jan 2025.,2025-01-10 | Vertex Gemini API | Vertex Gemini API elevated errors on Gemini 1.5 Flash 002 model
OBS-057,GCP,2025-01-24,AppSheet,AppSheet unavailable in us-east4 and europe-west4,https://status.cloud.google.com/incidents/qB1du5LQfSHCJjWR88Fi,1.83,multi-region/global,,Official incident report documents approximately 60% request failure rate in us-east4 and europe-west4.,2025-01-24 | AppSheet | AppSheet unavailable in us-east4 and europe-west4
OBS-058,GCP,2025-01-30,Chronicle Security,Chronicle Security WORKSPACE_ACTIVITY ingestion delays in asia-southeast1 and asia-south1,https://status.cloud.google.com/incidents/n8QFYMxUxe65sum9P1gk,13.33,multi-region/global,,Official mini incident report documents delayed WORKSPACE_ACTIVITY data and delayed detections/search in two regions.,2025-01-30 | Chronicle Security | Chronicle Security WORKSPACE_ACTIVITY ingestion delays in asia-southeast1 and asia-south1
OBS-059,GCP,2025-02-18,Google Security Operations (Chronicle / SOAR),SIEM Dashboards and SOAR Advanced Dashboards unavailable,https://status.cloud.google.com/incidents/r23WwsX2tpSN7RyFs83c,3.97,multi-region/global,configuration_change,Official mini incident report attributes impact to revocation of associated internal Looker licenses.,2025-02-18 | Google Security Operations (Chronicle / SOAR) | SIEM Dashboards and SOAR Advanced Dashboards unavailable
OBS-060,GCP,2026-02-27,Vertex AI Gemini API and dependent services,Vertex AI Gemini API customers experienced increased error rates when accessing the global endpoint,https://status.cloud.google.com/incidents/41E5S3mkTGDfkZuJZH5k,1.97,multi-region/global,configuration_change,Official incident report attributes issue to configuration change in safety filtering service supporting Gemini models.,2026-02-27 | Vertex AI Gemini API and dependent services | Vertex AI Gemini API customers experienced increased error rates when accessing the global endpoint
OBS-061,GCP,2024-01-10,Google Cloud Monitoring / dependent products,Google Cloud Monitoring dashboard delays and metric query failures affecting dependent products globally,https://status.cloud.google.com/incidents/ZvBMWa5Z8yhfCwbp5xTp,43.75,multi-region/global,configuration_change,Official incident report; configuration and scheduling/permission changes with mitigation-induced widening.,2024-01-10 | Google Cloud Monitoring / dependent products | Google Cloud Monitoring dashboard delays and metric query failures affecting dependent products globally
OBS-062,GCP,2024-05-16,Google Infrastructure / VPC controller,Google Infrastructure VPC controller automation caused networking connectivity issues and service disruptions,https://status.cloud.google.com/incidents/xVSEV3kVaJBmS7SZbnre,2.8,multi-region/global,software_defect,Official incident report; automation bug shut down VPC controllers in all zones instead of one.,2024-05-16 | Google Infrastructure / VPC controller | Google Infrastructure VPC controller automation caused networking connectivity issues and service disruptions
OBS-063,GCP,2024-06-10,BigQuery / Cloud Logging,Issue with BigQuery Streaming API and Cloud Logging in US multiregion,https://status.cloud.google.com/incidents/hAHmS7WwWk83e4ZQ5XUi,3.25,multi-service/single-region,,"Official mini incident report; concurrent mitigation of simultaneous degradations, full root cause not public in snippet.",2024-06-10 | BigQuery / Cloud Logging | Issue with BigQuery Streaming API and Cloud Logging in US multiregion
OBS-064,GCP,2024-07-15,Cloud Monitoring / dependent products,Cloud Monitoring elevated query errors and degraded performance in us-central1,https://status.cloud.google.com/incidents/ERzzrJqeGR2GCW51XKFv,2.2333,single-service/single-region,,Official incident report for Cloud Monitoring with dependent product signal impacts and alert drops.,2024-07-15 | Cloud Monitoring / dependent products | Cloud Monitoring elevated query errors and degraded performance in us-central1
OBS-065,GCP,2024-09-25,Mandiant Security Validation,"Mandiant Security Validation SaaS customers unable to run or create actions, sequences, and evaluations",https://status.cloud.google.com/incidents/psbdfLBYU9GR3bNNq7HT,11.0167,multi-region/global,software_defect,Official incident report; backend database implementation issue hit sequence-column limit.,"2024-09-25 | Mandiant Security Validation | Mandiant Security Validation SaaS customers unable to run or create actions, sequences, and evaluations"
OBS-066,GCP,2024-10-02,Google Cloud Support / Google Workspace Support,Google Cloud and Google Workspace Support intermittent issues with case creation,https://status.cloud.google.com/incidents/MXtAVH2fTnMpaCDx53JN,2.0833,multi-region/global,software_defect,Official incident report; latent issue in reporting service bypassed backpressure in ticket persistence control plane.,2024-10-02 | Google Cloud Support / Google Workspace Support | Google Cloud and Google Workspace Support intermittent issues with case creation
OBS-067,GCP,2024-11-14,Google Cloud Support,Issues opening support cases,https://status.cloud.google.com/incidents/NEtbe4S7pMgACeuopMaZ,6.2,multi-region/global,,Official incident report; global support case opening issue.,2024-11-14 | Google Cloud Support | Issues opening support cases
OBS-068,GCP,2024-12-04,Google BigQuery / Google Drive integration,Google BigQuery elevated invalid value and internal system errors for Google Drive integration globally,https://status.cloud.google.com/incidents/eEsQrpyy4PEE14RG8aHf,3.4167,multi-region/global,configuration_change,Official incident report; preliminary root cause described as misconfiguration in BigQuery Google Drive integration.,2024-12-04 | Google BigQuery / Google Drive integration | Google BigQuery elevated invalid value and internal system errors for Google Drive integration globally
OBS-069,GCP,2025-06-12,Google API management / Service Control,"Google Cloud, Google Workspace, and Google Security Operations increased 503 errors in external API requests",https://status.cloud.google.com/incidents/ow5i3PPK96RduMcb1SsW,3.0,multi-region/global,configuration_change,Official incident report; invalid automated quota update distributed globally to API management system.,"2025-06-12 | Google API management / Service Control | Google Cloud, Google Workspace, and Google Security Operations increased 503 errors in external API requests"
OBS-070,GCP,2026-02-27,Vertex AI Gemini API / dependent services,Vertex AI Gemini API customers experienced increased error rates,https://status.cloud.google.com/incidents/41E5S3mkTGDfkZuJZH5k,1.9667,multi-region/global,,"Official incident report; impacted Vertex Gemini API, Dialogflow CX, Agent Assist, and Google Cloud Support.",2026-02-27 | Vertex AI Gemini API / dependent services | Vertex AI Gemini API customers experienced increased error rates
